Borítókép;Cím;Év;Játékidő [perc];Értékelés;Link
https://m.media-amazon.com/images/M/MV5BOTgyNDE3NTk4Nl5BMl5BanBnXkFtZTgwMTg5MTgyMjE@._V1_QL75_UY148_CR2,0,100,148_.jpg;A berni követ;2014;76;6;https://www.youtube.com/watch?v=4pLHLL_0aNg&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=5&t=1436s
https://m.media-amazon.com/images/M/MV5BMTA0NjM2ODY5MTJeQTJeQWpwZ15BbWU4MDU2NTAxNTIx._V1_QL75_UY148_CR3,0,100,148_.jpg;Couch Surf;2014;84;2;https://www.youtube.com/watch?v=4pLHLL_0aNg&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=5&t=1586s
https://m.media-amazon.com/images/M/MV5BYzllNjY0ZmYtYjViZS00ODU5LTg4MDItOGI1OTNiNjlmZDljXkEyXkFqcGdeQXVyMTU1NTI2MA@@._V1_QL75_UY148_CR3,0,100,148_.jpg;Viharsarok;2014;115;6;https://www.youtube.com/watch?v=4pLHLL_0aNg&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=5&t=1911s
https://m.media-amazon.com/images/M/MV5BMTk5NjI4MTI1MV5BMl5BanBnXkFtZTgwODk3OTg4NjE@._V1_QL75_UY148_CR6,0,100,148_.jpg;Fekete leves;2014;93;2;https://www.youtube.com/watch?v=4pLHLL_0aNg&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=5&t=2178s
https://m.media-amazon.com/images/M/MV5BNjk4MzkyOTQwNF5BMl5BanBnXkFtZTgwODE5MTk1MzE@._V1_QL75_UX100_CR0,0,100,148_.jpg;Fehér Isten;2014;120;6;https://www.youtube.com/watch?v=4pLHLL_0aNg&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=5&t=2411s
https://m.media-amazon.com/images/M/MV5BMjE3NDY5MDE5OV5BMl5BanBnXkFtZTgwMzE1MTc2NjE@._V1_QL75_UY148_CR2,0,100,148_.jpg;Utóélet;2014;95;7;https://www.youtube.com/watch?v=4pLHLL_0aNg&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=5&t=2640s
https://m.media-amazon.com/images/M/MV5BMjMzOTE0MTA1MV5BMl5BanBnXkFtZTgwMDYxMzY2NjE@._V1_QL75_UY148_CR2,0,100,148_.jpg;Szabadesés;2014;89;2;https://www.youtube.com/watch?v=6lb3EpyQ4N4&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=6&t=91s
https://m.media-amazon.com/images/M/MV5BMTczMTY5NjUyNF5BMl5BanBnXkFtZTgwMDEyODQ0MTE@._V1_QL75_UY148_CR3,0,100,148_.jpg;Viktória - A zürichi expressz;2014;88;4;https://www.youtube.com/watch?v=6lb3EpyQ4N4&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=6&t=337s
https://m.media-amazon.com/images/M/MV5BMjI4NDg2Njc5MV5BMl5BanBnXkFtZTgwNTEwODE5NTE@._V1_QL75_UY148_CR6,0,100,148_.jpg;Senki szigete;2014;96;3;https://www.youtube.com/watch?v=6lb3EpyQ4N4&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=6&t=514s
https://m.media-amazon.com/images/M/MV5BMTk0ODg0OTcwMF5BMl5BanBnXkFtZTcwNDU4OTEyMw@@._V1_QL75_UY148_CR2,0,100,148_.jpg;Pillangók;2014;109;-1;https://www.youtube.com/watch?v=6lb3EpyQ4N4&list=PLAuHYXdwFUwg8ErChl6ZtdloiZg4xI55K&index=6&t=718s
